,text
0,recomiendo utilizar parkings
1,utilizar parkings recomienda
2,amigos alojarnos casa
3,alojarnos casa capitel
4,limpio habitaciones sencillas
5,sencillas correctas decoracion
6,comodidad buena atencion
7,tostadas bolleria cereales
8,forma excelente rachel
9,excelente rachel raquel
10,escapada romantica granada
11,romantica granada
12,granada buen gran
13,antigua alhambra heladerias
14,magnifico excelente ubicacion
15,magnifico unas habitaciones
16,seguro ademas parking
17,ademas parking
18,encantada relacion calidad
19,relacion calidad precio
20,parking subterraneo incluido
21,correcta parking subterraneo
22,poder visitar granada
23,visitar granada
24,visita buena noche
25,corta visita buena
26,autobuses centro pasos
27,amable linea autobuses
28,recibieron bocaditos cafe
29,bocaditos cafe jugos
30,viajo bastante hoteles
31,bastante hoteles conozco
32,pedir habitaciones limpias
33,habitaciones limpias grandes
34,relacion calidad precio
35,habitacion grande bano
36,habitacion sierra nevada
37,excelente habitacion sierra
38,buena puntuacion booking
39,puntuacion booking sorprendio
40,opcion centro granada
41,centro granada
42,cuantas habitaciones iran
43,visitar conocer granada
44,atencion excepcional habitaciones
45,excepcional habitaciones comodas
46,granada amabilidad exquisita
47,visitar granada amabilidad
48,tv ubicacion excelente
49,tv ubicacion
50,excelente personal informan
51,autobuses consiguieron entradas
52,unas habitaciones amplias
53,parking centro poder
54,restaurantes tiendas monumentos
55,bares restaurantes tiendas
56,limpia cuidada situacion
57,limpio habitacion limpia
58,situado centro granada
59,granada destacar magnifica
60,situado habitaciones limpias
61,habitaciones limpias amplias
62,acogedor buen restaurante
63,ubicacion habitacion comoda
64,localizado garage
65,bien localizado garage
66,dificil centro granada
67,plaza parking resulta
68,granada eligiria nuevamente
69,sitios interes granada
70,destacable ubicacion estrategicamente
71,wifi casi senal
72,callejon metros calle
73,ubicado callejon metros
74,aunque pocas habitaciones
75,pocas habitaciones
76,restaurante unas croquetas
77,nuevo habitaciones bano
78,centro granada detras
79,gran centro granada
80,toda granada repetiriamos
81,granada repetiriamos sin
82,habitacion atenas granada
83,expectativas granada gente
84,parking lado hostal
85,bien situado parking
86,visita granada habitacion
87,granada habitacion bien
88,granada sentimos casa
89,alojamos atenas granada
90,visita granada relacion
91,visita granada
92,servicios tranquilidad dispensa
93,prestaciones servicios tranquilidad
94,economico cuenta ubicacion
95,volvamos visitar granada
96,habitacion limpia terraza
97,terraza vistas espectaculares
98,granada relacion calidad
99,visita granada
