,text
0,ausencia bolleria buffet
1,bolleria buffet comida
2,companeros abuardilladas pasada
3,cuidado bien decorado
4,hacia cliente gastronomia
5,cliente gastronomia
6,mejoraria buffet buscabamos
7,buffet buscabamos bien
8,pequenita ninos jacuzzi
9,ninos jacuzzi tumbado
10,miembros sola habitacion
11,sola habitacion pusieron
12,semana encandado habitaciones
13,encandado habitaciones
14,semana pension completa
15,pension completa toda
16,buffet mejor situacion
17,amarillo buen terminos
18,buffet cumplido creces
19,dentro buffet pongo
20,estupendas junior suites
21,mencion junior suites
22,buen habitacion bastante
23,habitacion bastante
24,playa habitacion completamente
25,frente playa habitacion
26,calor habitaciones relacion
27,habitaciones relacion
28,buena instalaciones spa
29,hoteles viajar familia
30,excelente vac
31,vac excelentes vac
32,estancia playacartaya huelva
33,playacartaya huelva conocemos
34,estupendo habitacion colchones
35,alli estupendo habitacion
36,vacaciones recomiendo playacartaya
37,recomiendo playacartaya huelva
38,recomendable familias habitaciones
39,pequenos restauracion aceptable
40,acondicionar acceso playa
41,playa pinares personal
42,divertido lujo playacartaya
43,playacartaya spa comidas
44,instalaciones limpieza habitaciones
45,limpieza habitaciones perfecto
46,fenomenal txiringuito playa
47,vacaciones inolvidables primera
48,tickets facilitados recepcion
49,traves tickets facilitados
50,familiar hoteles cadena
51,hoteles cadena servicio
52,urbanizacion campo golf
53,problema situacion dificil
54,personal hace casa
55,hace casa gracias
56,incluido maravilloso habitaciones
57,maravilloso habitaciones estupenda
58,semana familia totalmente
59,fin semana familia
60,problema ano pasado
61,problema evacuar
62,29 junio pronto
63,pronto bien servicios
64,vacaciones inolvidables julio
65,vacaciones inolvidables
66,instalaciones buenas playa
67,volver instalaciones buenas
68,limpieza refiero tiempo
69,servicios limpieza refiero
70,climatizada cubierta jacuzzi
71,jacuzzi cubierto pudimos
72,recomendaria celiacos garantizan
73,celiacos garantizan comida
74,vacaciones anual 2012
75,2012 semana vacaciones
76,vacaciones 2012 playa
77,vacaciones 2012
78,zona pasado semana
79,buena zona pasado
80,2012 parecio estupendo
81,ninos piedritas playa
82,vacaciones familia
83,vacaciones familia amigos
84,primera linea playa
85,puntas comida bien
86,cadena playa adultos
87,adultos dos ninos
88,encantado unas habitaciones
89,divertido encantado unas
90,repetimos ir familia
91,ir familia ninos
92,bien todomuy adaptado
93,adaptado espectaculos piscinas
94,cadena hoteles familias
95,hoteles familias ninos
96,estupendas vacaciones familia
97,vacaciones familia estupendo
98,toboganes basuras habitaciones
99,basuras habitaciones estupendasen
100,semana santa magnifico
101,semana santa diferente
102,visitamos playaluna gustado
103,vez visitamos playaluna
104,pues pasado magnifico
105,magnifico dieron habitacion
106,pequenos adolescentes forma
107,pega limpieza habitaciones
108,demasiada gente playaluna
109,gente playaluna bien
110,instalaciones encuentran buen
111,tiempo acompano instalaciones
112,restauracion hace mucha
113,necesitan restauracion hace
114,animadores geniales estado4
115,hablar animacion geniales
116,septiembre mujer hijos
117,habitacion magnifica genial
118,familia dias habitacion
119,dias habitacion espectacular
120,animarte actividades sincera
121,animacion actividades todas
